,food_com,food_sci,synonyms_open_tree_of_life,synonyms_wiki_search,synonyms_ncbi,synonyms_all_sources
0,crosne,stachys_affinis,Stachys geobombycis alba; Stachys sieboldii; Stachys sieboldii alba; Stachys sieboldii glabrescens; Stachys sieboldii malacotricha; Stachys tuberifera; Stachys tubifera,,"Stachys sieboldii; Japanese artichoke; Stachys affinis Bunge, 1833",
1,pacific_rockfish,sebastes,Acutomentum; Allosebastes; Auctospina; Emmelas; Eosebastes; Eusebastes; Hatumeus; Hispaniscus; Mebarus; Murasoius; Neohispaniscus; Primospina; Pteropodus; Rosicola; Sebastichthys; Sebastocarus; Sebastocles; Sebastodes; Sebastomus; Sebastopyr; Sebastosomus; Sebastostomus; Sebastus; Takenokius; Zalopyr,sea perch,,
2,spotted_seal,phoca_largha,Callocephalus largha; Pagomys largha; Phoca insularis; Phoca vitulina largha,,"spotted seal; Phoca largha Pallas, 1811",
3,ostrich,struthio_camelus,Struthio camelus domesticus,ostrich; African ostrich,"Struthio camelus domesticus; African ostrich; ostrich; Struthio camelus Linnaeus, 1758",
4,tunicate,tunicata,Urochordata,tunicates; tunicate,Urochordata; tunicates,
5,okra,abelmoschus_esculentus,Abelmoschus bammia; Abelmoschus esculentus praecox; Abelmoschus esculentus textilis; Abelmoschus officinalis; Abelmoschus praecox; Abelmoschus tuberculatus; Hibiscus bammia; Hibiscus esculentus; Hibiscus ficifolius; Hibiscus longifolius; Hibiscus praecox,okra plant; ladyfinger; gumbo; okra; ladies' finger; ocra; lady's finger,"Hibiscus esculentus; okra; lady's fingers; lady's-fingers; quiabo; Abelmoschus esculentus Moench, 1794; Hibiscus esculentus L.",
6,ocean_pout,zoarces_americanus,Blennius americanus; Blennius anguillaris; Blennius ciliatus; Blennius gronovii; Blennius labrosus; Blennius viviparus unicolor; Macrozoarces americanus; Zoarces anguillaris; Zoarces gronovii,,"Blennius americanus; Lycodes americanus; Macrozoarces americanus; ocean pout; North-Atlantic ocean pout; mother-of-eels; muttonfish; poodler; Blennius americanus Bloch & Schneider, 1801; Zoarces americanus (Bloch & Schneider, 1801)",
7,nopal,opuntia_cochenillifera,Cactus cochenilifer; Cactus cochenillifera; Cactus cochenilliferus; Nopalea coccinellifera; Nopalea cochenillifera cochenillifera; Nopalea cochenillifera parvior; Nopalea nuda; Opuntia cochenillifera; Opuntia nuda,,"Cactus cochenillifer; Opuntia cochenillifera; cochineal cactus; Cactus cochenillifer L., 1753; Nopalea cochenillifera (L.) Salm-Dyck, 1850; Opuntia cochenillifera (L.) Mill., 1768; Nopalea cochenilifera; Nopalea cochinilifera",
8,striped_mullet,mugil_cephalus,Mugil albula; Mugil ashanteensis; Mugil cephalas; Mugil cephalotus; Mugil cephalus ashanteensis; Mugil cephalus cephalus; Mugil cephalus rammelsbergi; Mugil crenilabis our; Mugil dobula; Mugil galapagensis; Mugil gelatinosus; Mugil grandis; Mugil hypselosoma; Mugil japonicus; Mugil lineatus; Mugil marginalis; Mugil marginatus; Mugil mexicanus; Mugil muelleri; Mugil mulleri; Mugil occidentalis; Mugil oecur; Mugil our; Mugil peruanus; Mugil provensalis; Mugil rammelsbergii; Mugil tang; Mugil vulpinus; Myxus barnardi; Myxus caecutiens; Myxus pacificus; Myxus superficialis,sea mullet,"Mugil cephalotus; Mugil galapagensis; Mugil japonicus; flathead mullet; Formosan gray mullet; Formosan grey mullet; Mugil cephalotus Valenciennes, 1836; Mugil cephalus Linnaeus, 1758; Mugil galapagensis Ebeling, 1961",
9,mountain_yam,dioscorea_pentaphylla,Botryosicyos pentaphyllus; Dioscorea changjiangensis; Dioscorea codonopsidifolia; Dioscorea digitata; Dioscorea globifera; Dioscorea jacquemontii; Dioscorea kleiniana; Dioscorea pentaphylla cardonii; Dioscorea pentaphylla communis; Dioscorea pentaphylla hortorum; Dioscorea pentaphylla javanica; Dioscorea pentaphylla kussok; Dioscorea pentaphylla linnaei; Dioscorea pentaphylla malaica; Dioscorea pentaphylla mollis; Dioscorea pentaphylla palmata; Dioscorea pentaphylla papuana; Dioscorea pentaphylla rheedei; Dioscorea pentaphylla sacerdotalis; Dioscorea pentaphylla simplicifolia; Dioscorea pentaphylla suli; Dioscorea pentaphylla thwaitesii; Dioscorea pentaphylla unifoliata; Dioscorea spinosa; Dioscorea sumbawensis; Dioscorea triphylla; Hamatris triphylla; Ubium quadrifarium; Ubium scandens,,"wu ye shu yu; Dioscorea pentaphylla L., 1753; Dioscorea pentaphyla",
