"","resolved_common_name","merged_common_names","merged_scientific_names"
"0","crosne","crosne","stachys affinis"
"1","pacific rockfish","pacific rockfish","sebastes"
"2","spotted seal","spotted seal","phoca largha"
"3","ostrich","ostrich","struthio camelus"
"4","tunicate","tunicate; tunicates","tunicata"
"5","okra","okra; okra ()","abelmoschus esculentus"
"6","ocean pout","ocean pout","zoarces americanus"
"7","nopal","nopal","opuntia cochenillifera"
"8","striped mullet","striped mullet","mugil cephalus"
"9","mountain yam","mountain yam","dioscorea pentaphylla"
"10","moth bean","moth bean","vigna aconitifolia"
"11","monkfish","monkfish","lophius piscatorius"
"12","milkfish","milkfish","chanos chanos"
"13","alpine sweetvetch","alpine sweetvetch","hedysarum alpinum"
"14","purple mangosteen","purple mangosteen","garcinia mangostana"
"15","mammee apple","mammee apple","mammea americana"
"16","lotus","lotus","nelumbo; lotus"
"17","american lobster","american lobster","homarus americanus"
"18","lingcod","lingcod; ling","ophiodon elongatus; molva molva"
"19","leather chiton","leather chiton","katharina tunicata"
"20","lambsquarters","lambsquarters; lamb's quarters","chenopodium album"
"21","kumquat","kumquat; kumquat ()","fortunella"
"22","king mackerel","king mackerel","scomberomorus cavalla"
"23","kelp","kelp","laminaria"
"24","kale","kale","brassica napus var. pabularia; brassica oleracea var. viridis"
"25","jute","jute","corchorus olitorius; corchorus capsularis"
"26","java plum","java plum","syzygium cumini"
"27","japanese chestnut","japanese chestnut","castanea crenata"
"28","velvet duck","velvet duck","melanitta fusca"
"29","jackfruit","jackfruit","artocarpus heterophyllus"
"30","french plantain","french plantain","musa x paradisiaca"
"31","prickly pear","prickly pear; prickly pears","opuntia; opuntia lindheimeri; opuntia ficus indica"
"32","atlantic halibut","atlantic halibut","hippoglossus hippoglossus"
"33","yautia","yautia","xanthosoma sagittifolium"
"34","jicama","jicama","pachyrhizus erosus"
"35","whitefish","whitefish","coregonus"
"36","broad whitefish","broad whitefish","coregonus nasus"
"37","whelk","whelk; wheat; whey","buccinidae; triticum; triticum aestivum; triticum compactum var. little club"
"38","wax gourd","wax gourd","benincasa hispida"
"39","walleye","walleye","sander vitreus"
"40","salmonidae (salmon, trout)","salmonidae (salmon, trout)","salmonidae"
"41","teff","teff","eragrostis tef"
"42","taro","taro","colocasia esculenta; alocasia macrorrhiza"
"43","sugar apple","sugar apple","annona squamosa"
"44","spelt","spelt","triticum spelta"
"45","sesbania flower","sesbania flower","sesbania bispinosa"
"46","sea trout","sea trout","salmo trutta forma trutta; salmo trutta trutta"
"47","bearded seal","bearded seal","erignathus barbatus"
"48","common salsify","common salsify","tragopogon porrifolius"
"49","salmonberry","salmonberry","rubus spectabilis"
"50","atlantic salmon","atlantic salmon","salmo salar"
"51","pink salmon","pink salmon","oncorhynchus gorbuscha"
"52","sablefish","sablefish","anoplopoma fimbria"
"53","orange roughy","orange roughy","hoplostethus atlanticus"
"54","malabar plum","malabar plum","syzygium jambos"
"55","rainbow trout","rainbow trout","oncorhynchus mykiss"
"56","rainbow smelt","rainbow smelt","osmerus mordax"
"57","european rabbit","european rabbit","oryctolagus"
"58","quinoa","quinoa; quince; quinine","chenopodium quinoa; cydonia oblonga; cinchona pubescens"
"59","american pokeweed","american pokeweed","phytolacca americana"
"60","irish moss","irish moss","chondrus crispus"
"61","hyacinth bean","hyacinth bean","lablab purpureus; lablab niger; dolichos lablab"
"62","hazelnut","hazelnut; hazelnuts","corylus; corylus stricta"
"63","buffalo","buffalo","bubalus bubalis"
"64","bison","bison","bison bison"
"65","striped bass","striped bass","morone saxatilis"
"66","atlantic herring","atlantic herring","clupea harengus harengus"
"67","asian pear","asian pear","pyrus pyrifolia; pyrus pyrifolia var. culta"
"68","arrowroot","arrowroot","maranta arundinacea"
"69","arrowhead","arrowhead","sagittaria latifolia"
"70","amaranth","amaranth","amaranthus; amaranthus caudatus"
"71","allspice","allspice","pimenta dioica"
"72","agar","agar","eucheuma"
"73","winter squash","winter squash","cucurbita maxima"
"74","acorn","acorn","quercus"
"75","acerola","acerola","malpighia emarginata; malpighia glabra"
"76","spirit","spirit",""
"77","biscuit","biscuit",""
"78","skunk currant","skunk currant","ribes glandulosum"
"79","pineappple sage","pineappple sage","salvia elegans"
"80","sweet rowanberry","sweet rowanberry","grataegosorbus mitschurinii"
"81","red beetroot","red beetroot","beta vulgaris var. rubra"
"82","radish (var.)","radish (var.)","raphanus sativus var. sativus"
"83","black radish","black radish; black radish ()","raphanus sativus var. niger"
"84","daikon radish","daikon radish","raphanus sativus var. longipinnatus"
"85","oxheart cabbage","oxheart cabbage","brassica oleracea var. conica"
"86","italian oregano","italian oregano","origanum x majoricum"
"87","kai lan","kai lan","brassica oleracea var. alboglabra"
"88","jostaberry","jostaberry","ribes nidigrolaria; ribes x nidigrolaria"
"89","grapefruit","grapefruit; grapefruit ()","citrus x paradisi"
"90","burbot","burbot","lota lota"
"91","giant butterbur","giant butterbur","petasites japonicus"
"92","calabash","calabash","lagenaria siceraria"
"93","natal plum","natal plum","carissa macrocarpa"
"94","haddock","haddock","melanogrammus aeglefinus"
"95","grouper","grouper","epinephelus"
"96","greenland halibut/turbot","greenland halibut/turbot","reinhardtius hippoglossoides"
"97","greylag goose","greylag goose","anser anser"
"98","florida pompano","florida pompano","trachinotus carolinus"
"99","european chestnut","european chestnut","castanea sativa"
"100","emu","emu","dromaius novaehollandiae; dromaius novae hollandiae"
"101","durian","durian","durio zibethinus"
"102","devilfish","devilfish","myoxocephalus"
"103","mule deer","mule deer","odocoileus"
"104","cuttlefish","cuttlefish","sepiidae"
"105","cusk","cusk","brosme brosme"
"106","atlantic croaker","atlantic croaker","micropogonias undulatus"
"107","pacific halibut","pacific halibut","hippoglossus stenolepis"
"108","cottonseed","cottonseed","gossypium"
"109","pacific cod","pacific cod; pacific cod ()","gadus macrocephalus"
"110","coconut","coconut; cocoa; coca","cocos nucifera; theobroma cacao; erythroxylum coca"
"111","nuttall cockle","nuttall cockle","clinocardium nuttallii"
"112","garland chrysanthemum","garland chrysanthemum","chrysanthemum coronarium"
"113","chinese water chestnut","chinese water chestnut","eleocharis dulcis"
"114","chinese chestnut","chinese chestnut","castanea mollissima"
"115","chinese broccoli","chinese broccoli","brassica alboglabra"
"116","chia","chia","salvia hispanica"
"117","cherimoya","cherimoya","annona cherimola"
"118","chayote","chayote; chapote","sechium edule; diospyros texana"
"119","cassava","cassava","manihot esculenta"
"120","common carp","common carp","cyprinus carpio"
